[logger] capturing stdout/stderr to results/logs/log_2025-11-08-22-46-59.txt
Using device: cuda
英文词汇表大小：10688
中文词汇表大小：3364
示例英文句子索引序列： [2, 3733, 3]
示例中文句子索引序列： [2, 1779, 4, 3]
Epoch 1/100, Train Loss: 4.488, Accuracy: 0.170
Epoch 2/100, Train Loss: 3.415, Accuracy: 0.230
Epoch 3/100, Train Loss: 2.875, Accuracy: 0.264
Epoch 4/100, Train Loss: 2.451, Accuracy: 0.291
Epoch 5/100, Train Loss: 2.085, Accuracy: 0.317
Epoch 6/100, Train Loss: 1.749, Accuracy: 0.342
Epoch 7/100, Train Loss: 1.447, Accuracy: 0.368
Epoch 8/100, Train Loss: 1.178, Accuracy: 0.395
Epoch 9/100, Train Loss: 0.937, Accuracy: 0.419
Epoch 10/100, Train Loss: 0.725, Accuracy: 0.445
Epoch 11/100, Train Loss: 0.554, Accuracy: 0.462
Epoch 12/100, Train Loss: 0.417, Accuracy: 0.483
Epoch 13/100, Train Loss: 0.320, Accuracy: 0.492
Epoch 14/100, Train Loss: 0.256, Accuracy: 0.498
Epoch 15/100, Train Loss: 0.213, Accuracy: 0.504
Epoch 16/100, Train Loss: 0.185, Accuracy: 0.510
Epoch 17/100, Train Loss: 0.164, Accuracy: 0.509
Epoch 18/100, Train Loss: 0.150, Accuracy: 0.511
Epoch 19/100, Train Loss: 0.142, Accuracy: 0.512
Epoch 20/100, Train Loss: 0.132, Accuracy: 0.512
Epoch 21/100, Train Loss: 0.125, Accuracy: 0.512
Epoch 22/100, Train Loss: 0.118, Accuracy: 0.517
Epoch 23/100, Train Loss: 0.112, Accuracy: 0.517
Epoch 24/100, Train Loss: 0.107, Accuracy: 0.520
Epoch 25/100, Train Loss: 0.099, Accuracy: 0.517
Epoch 26/100, Train Loss: 0.095, Accuracy: 0.520
Epoch 27/100, Train Loss: 0.096, Accuracy: 0.521
Epoch 28/100, Train Loss: 0.091, Accuracy: 0.517
Epoch 29/100, Train Loss: 0.090, Accuracy: 0.522
Epoch 30/100, Train Loss: 0.086, Accuracy: 0.522
Epoch 31/100, Train Loss: 0.081, Accuracy: 0.523
Epoch 32/100, Train Loss: 0.081, Accuracy: 0.520
Epoch 33/100, Train Loss: 0.078, Accuracy: 0.521
Epoch 34/100, Train Loss: 0.074, Accuracy: 0.523
Epoch 35/100, Train Loss: 0.072, Accuracy: 0.524
Epoch 36/100, Train Loss: 0.075, Accuracy: 0.523
Epoch 37/100, Train Loss: 0.074, Accuracy: 0.521
Epoch 38/100, Train Loss: 0.068, Accuracy: 0.522
Epoch 39/100, Train Loss: 0.067, Accuracy: 0.524
Epoch 40/100, Train Loss: 0.067, Accuracy: 0.524
Epoch 41/100, Train Loss: 0.068, Accuracy: 0.520
Epoch 42/100, Train Loss: 0.064, Accuracy: 0.520
Epoch 43/100, Train Loss: 0.061, Accuracy: 0.523
Epoch 44/100, Train Loss: 0.061, Accuracy: 0.520
Epoch 45/100, Train Loss: 0.061, Accuracy: 0.524
Epoch 46/100, Train Loss: 0.062, Accuracy: 0.522
Epoch 47/100, Train Loss: 0.059, Accuracy: 0.524
Epoch 48/100, Train Loss: 0.056, Accuracy: 0.521
Epoch 49/100, Train Loss: 0.057, Accuracy: 0.521
Epoch 50/100, Train Loss: 0.056, Accuracy: 0.526
Epoch 51/100, Train Loss: 0.054, Accuracy: 0.523
Epoch 52/100, Train Loss: 0.055, Accuracy: 0.526
Epoch 53/100, Train Loss: 0.055, Accuracy: 0.522
Epoch 54/100, Train Loss: 0.051, Accuracy: 0.524
Epoch 55/100, Train Loss: 0.051, Accuracy: 0.527
Epoch 56/100, Train Loss: 0.053, Accuracy: 0.524
Epoch 57/100, Train Loss: 0.050, Accuracy: 0.527
Epoch 58/100, Train Loss: 0.050, Accuracy: 0.525
Epoch 59/100, Train Loss: 0.051, Accuracy: 0.528
Epoch 60/100, Train Loss: 0.048, Accuracy: 0.523
Epoch 61/100, Train Loss: 0.049, Accuracy: 0.525
Epoch 62/100, Train Loss: 0.048, Accuracy: 0.523
Epoch 63/100, Train Loss: 0.047, Accuracy: 0.521
Epoch 64/100, Train Loss: 0.047, Accuracy: 0.522
Epoch 65/100, Train Loss: 0.047, Accuracy: 0.526
Epoch 66/100, Train Loss: 0.046, Accuracy: 0.523
Epoch 67/100, Train Loss: 0.045, Accuracy: 0.522
Epoch 68/100, Train Loss: 0.044, Accuracy: 0.524
Epoch 69/100, Train Loss: 0.046, Accuracy: 0.524
Epoch 70/100, Train Loss: 0.044, Accuracy: 0.523
Epoch 71/100, Train Loss: 0.044, Accuracy: 0.521
Epoch 72/100, Train Loss: 0.043, Accuracy: 0.528
Epoch 73/100, Train Loss: 0.042, Accuracy: 0.526
